Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,SPI_CONN,PinHeader_1x06_P2.54mm_Vertical,140.4,-99.3,180,bottom
C1,1uF,C_0603_1608Metric,161.25,-104.55,90,top
U1,AS5047P,TSSOP-14_4.4x5mm_P0.65mm,155.9,-105.7325,0,top
